id,title,description,category,image,imageCaption,imageCredit,pubDate,tags,creator,source,language,imageName
bb61a6430e8cc97b62ccf128221f9ee579ffa230,שם את מכבי תל אביב בצד: המונולוג של עודד קטש למען החטופים,"המאמן הישראלי עצר את מסיבת העיתונאים לקראת המשחק נגד הפועל ירושלים בסופרקאפ והתייחס למלחמה: ""אני כל פעם כועס על עצמי שאני לא מזכיר את זה מספיק, בטח עכשיו""",כדורסל ישראלי,data/pics/hayom_0001_b6318dc6.jpg,עודד קטש,Partizan BC,2025-09-16T18:16:06+03:00,החטופים|מכבי תל אביב בכדורסל|עודד קטש,מערכת ספורט היום,hayom,he,טש
7995bbfd4b4a052585a70d1cb9e5d4531f5301cc,במאות אלפי שקלים: המיליארדר במהלך לקידום ישראל בעולם,תנאי השימוש,מפה,data/pics/hayom_0002_1cda7390.jpg,ברנדון קורף,אור גפן,2025-09-16T18:15:01+03:00,ברנדון קורף,ערן סויסה,hayom,he,d983e4e4-0dc0-41a1-96b0-222ce3056b53
1423d258bf7c47f81066e282e6d6e7e712e4e435,"מאחורי הקלעים של מבצע ""עם כלביא"": ""הנהגת המדינה ירדה למקום בטוח""",המבצע שהתקיים בחודש יוני האחרון הפתיע את כל תושבי המדינה - חוץ ממי ששהו בחדרים הסגורים ואישרו אותו • סרט חדש יחשוף מה קרה מאחורי הקלעים עד קבלת ההחלטה הדרמטית,טלוויזיה,data/pics/hayom_0003_f08fe184.jpeg,מערכת החץ במהלך מבצע עם כלביא,אגף דוברות וקשרי ציבור במשרד הביטחון.,2025-09-16T18:11:52+03:00,איראן|ישראל|מבצע עם כלביא|רשת 13,מערכת ישראל היום,hayom,he,WhatsApp-Image-2025-07-17-at-09.31.38
ad96eb83790317c92eb402a531861fc63038c5a9,דיווח: גולדן סטייט ווריורס פועלת לצרף את ניקולה יוקיץ' ויאניס אנטטוקומפו,"סם אמיק מ""האת'לטיק"" מדווח כי הקבוצה מפנה תקציב משמעותי על מנת להביא לפחות אחד משני הכוכבים הגדולים בקיץ 2027, שם שניהם מחזיקים באופציית שחקן • בנוסף, הוא מדווח כי קבוצות NBA נוספות משווקים גדולים פועלות בצורה דומה",כדורסל עולמי,data/pics/hayom_0004_71743cca.jpg,ניקולה יוקיץ' מול יאניס אנטטוקומפו,AP,2025-09-16T18:07:27+03:00,NBA|גולדן סטייט ווריורס|יאניס אנטטוקומפו|ניקולה יוקיץ',מערכת ספורט היום,hayom,he,Bucks_Nuggets_Basketball_96958-512af
436c7c01c9578cdc74e966d5fc909ed8688316f9,"הרצוג בביקורת על נאום ""ספרטה"" של נתניהו: ""אסור להשלים עם הבידוד""","""אסור לנו לשרוף את הגשרים - אסור לנו להסתגר, להתבודד ולהתבצר"", טען בנחרצות הנשיא, בטקס האזכרה לשמעון פרס • ""זה קריטי עבור ביטחונם של אזרחי ישראל, זה קריטי עבור ביטחונן של הקהילות היהודיות בתפוצות, וזה קריטי עבור עתידה של מדינת ישראל"" • דבריו נמסרו בעקבות אזהרת רה""מ, כי ישראל תיאלץ להתמודד עם חסימות בתחום התעשייה והנשק",פוליטי-מדיני,data/pics/hayom_0005_9b3b5905.jpeg,"""בפן הכלכלי, הביטחוני והמדיני – ישראל שאפה ופעלה תמיד לעוצמה חוצת גבולות, ואני מאמין בכל ליבי שכך גם נמשיך"". הנשיא הרצוג (ארכיון)",חיים צח/ לע״מ,2025-09-16T18:07:13+03:00,,לידור סולטן,hayom,he,WhatsApp-Image-2025-09-14-at-16.50.11
61d4206e0893acbfea49facc0df8cafee291d9db,THIS IS SPARTA: מי אלו הספרטנים ואיך זה קשור לביבי?,"לאחר הנאום של נתניהו, בו קבע שישראל נכנסת לבידוד ועליה להפוך ל״סופר-ספרטה״, חזרנו להבין מה היא בכלל ספרטה ואיך כל זה קשור למצב שלנו במדינה? • צפו בסרטון",בארץ,data/pics/hayom_0006_a2c800e8.jpg,מי אלו הספרטנים?,ללא קרדיט,2025-09-16T18:05:40+03:00,שורטס,אלעד מרגי,hayom,he,16.9-7
606b98c531b774d0ce99246f3f8e957aa19516aa,חברת סייבר ישראלית חשפה חולשת אבטחה חמורה ב-Google Pay,חברת אימפרבה זיהתה חולשה שאפשרה לתוקפים לשים את ידם על ארבע ספרות כרטיס האשראי האחרונות של המשתמשים,חדשות טכנולוגיה,data/pics/hayom_0007_923ad3aa.jpg,Google Pay,GettyImages,2025-09-16T18:00:13+03:00,גוגל|גוגל פיי|טכנולוגיה|סייבר,מערכת ישראל היום,hayom,he,GettyImages-1042361096
321a6e2ab1fde7bc71ee2adf93468e4f48153807,"""העיר בהרס מוחלט"": עדויות מעזה מהיום הראשון למבצע","על רקע הכניסה של צה""ל לעיר - תושבת עזה סיפרה על ההרס והקושי להימלט • תושב אחר סיפר כי ""המקומות שישראל טוענת שהם בטוחים אינם בטוחים כלל"" • כך נראה היום הראשון לתמרון בעיר",ביטחוני,data/pics/hayom_0008_ea4d53d0.jpg,עשן ופיצוצים בעיר עזה,רויטרס,2025-09-16T17:56:39+03:00,,שחר קליימן,hayom,he,MADP_3_ISRAEL-PALESTINIANS-GAZA-20
f1229651f046b4644d82f67d688e0b9fcbe61e64,"יובל מ""האח הגדול"" ואושר כהן במפגש מפתיע",זוכה הריאליטי מצא את עצמו במפגש מקרי עם הזמר המצליח. צפו,15 דקות,data/pics/hayom_0001_0e33ad21.jpg,"אושר כהן, יובל לוי","קוקו, אורן בן חקון",2025-09-16T17:47:10+03:00,אושר כהן|יובל לוי,עומר איסוביץ',hayom,he,21ee2398-edcc-4ef8-af60-4665209426dc
955ee48a1bc33c5abe1cfe8f8d37681469d6c206,הקמת המפלגה של איזנקוט: נתניהו רק יהנה ממאבק המנדטים,"על חשבון שותפו לשעבר בני גנץ, הרמטכ""ל לשעבר, רא""ל במיל' איזנקוט מקווה להיות הבשורה החדשה בגוש המרכז • לפיד שכבר חטף מכה קשה בכנף שמאל עם צמיחת מפלגת הדמוקרטים, נמצא כעת בסכנת נפילה מתחת לאחוז החסימה • זו יכולה להיות הזדמנות עבור נתניהו לעצב את המורשת הפוליטית שלו מחדש",פוליטי,data/pics/hayom_0002_521a9a46.jpg,הזדמנות עבור נתניהו לעצב את המורשת הפוליטית שלו מחדש. נתנהו ואיזנקוט במליאת הכנסת (ארכיון),אורן בן חקון,2025-09-16T17:44:28+03:00,,שירית אביטן כהן,hayom,he,OBH_3079
3ff4a652731985738e082cd52ec1da3c0f9b7e6d,"תייר בריטי תקף מנהל מלון בגרזן: ""אני מוסלמי, אלוהים אמר לי לעשות זאת""","תייר בריטי בן 68 תקף מנהל מלון בגואטמלה בגרזן • הקורבן ניזוק ממספר חבלות קשות ופונה לבית החולים הלאומי • החשוד טען כי פעל לפי הוראות דתיות, ואמר לשוטרים שאלוהים הורה לו ""לחסל אנשים עם מאפיינים מסוימים""",חדשות תיירות,https://www.israelhayom.co.il/wp-content/uploads/2025/09/16/16/בריטי.jpg,התייר הבריטי שתקף עם גרזן נעצר ונלקח לבית המשפט המקומי,27א',2025-09-16T17:35:35+03:00,גואטמלה|גרזן|תייר,ליאת מופז מילצ'ן,hayom,he,
c221f70a4c8c8b612a8dceb46742fa7f55d8be70,על רקע המגעים להסכם ביטחוני: ישראל מחמשת אלפי דרוזים בדרום סוריה,"תחת לחץ אמריקני, סוריה מאיצה מגעים עם ישראל להסכם ביטחוני שדמשק מקווה שיביא להחזרת שטחים שנתפסו לאחרונה ע""י ישראל • ״ישראל לא מציעה הרבה, למרות רצונו של הנשיא האמריקני"", מסר מקור ביטחוני • במקביל, מסר המקור כי ישראל מספקת נשק ומשכורות ל־3,000 לוחמים דרוזיים בסוריה",המזרח התיכון,data/pics/hayom_0004_ca58d6e0.jpg,"גורם ביטחוני שמעורה בפרטים מסר: ""אפילו הסכם צנוע יהיה הישג"". טנק אמריקני בדרום סוריה (ארכיון)",AP,2025-09-16T17:29:07+03:00,,מערכת ישראל היום|רויטרס,hayom,he,Syria_US_21343483206517
ae9ba79d232bdf30cc68ac412f72e48643d6120b,עומד לצד ישראל: ההצהרה החד משמעית של הוועד האולימפי הבינלאומי,"בעוד שמתרבים הקולות הקוראים להחרים את ישראל מהתחרויות הספורטיביות – כולל ראש ממשלת ספרד, פדרו סאנצ’ס, הוועד האולימפי הבינלאומי (IOC) הבהיר כי ישראל עומדת בעקרונות אמנת האולימפיאדה",ענפים נוספים,data/pics/hayom_0005_d2d51a9a.jpg,קירסטי קובנטרי,רויטרס,2025-09-16T17:28:17+03:00,אולימפיאדה|הוועד האולימפי|הוועד האולימפי בישראל,אורן אהרוני,hayom,he,New_UP1EL3K1795ER_RTRMADP_3_OLYMPICS-IOC
59aac207667abe816ff5fc50677c728d3484ad2d,"עופר וינטר עוקץ: ""להפסיק למנות אנשים משיחיים לתפקידים הבכירים במדינה""","תא""ל במיל' עופר וינטר תומך במינוי זיני לראשות השב""כ: ""יודע מי האויב ולעולם לא יתמכר לאשליות השקט המדומה"" • ""המשיחיים הביאו עלינו אוטובוסים מתפוצצים ומאות ""קורבנות שלום""'",ביטחוני,data/pics/hayom_0006_c9c00828.jpeg,תא''ל במיל' עופר וינטר בכנס אוניברסיטת רייכמן,אלון גלבוע,2025-09-16T17:23:18+03:00,,מערכת ישראל היום,hayom,he,WhatsApp-Image-2025-02-25-at-18.26.40
602d106ba91b4e91c9fb87450e70e23d70905180,אוצרות נטפליקס: הסדרות השוות ביותר שכנראה פספסתם- פרק 2,"התסכול של צפייה בנטפליקס גדול מאי פעם ונובע מגלילה אינסופית מבלי למצוא משהו שווה לראות • כאן אנחנו נכנסים לתמונה ומנסים למצוא את האוצרות החבויים של נטפליקס, - הסדרות המדהימות שפשוט נעלמו תחת הרדאר של כולנו • צפו בסרטון",טלוויזיה,data/pics/hayom_0007_57c629ec.jpg,THE OA,ללא קרדיט,2025-09-16T17:10:35+03:00,שורטס,יואב אברהמי,hayom,he,איוצמנשןך.00_00_02_07.Still005
0157976fe0b32ddfc5df1f728c9958117849f296,"סער נגד האיחוד האירופי: ""לחץ באמצעות סנקציות לא יועיל - לא ניכנע לאיומים""","""משחקים לידי חמאס"", כתב שר החוץ במכתב ששיגר לנשיאת הנציבות האירופי, אורסולה פון דר ליין • זאת, לקראת הדיון בנושא הצעותיה של נשיאת הנציבות להפעיל לחץ פוליטי על ישראל, ע""י השעית סעיפי הסחר בהסכם האסוציאציה • סער גינה את נושא הדיון: ""מסכן את המאמצים המתמשכים להביא לסיום המלחמה""",פוליטי-מדיני,data/pics/hayom_0008_c04ba533.jpg,"""ההצעה מהווה ניסיון ברור לפגוע בישראל בעת שאנו עדיין נלחמים במלחמה שנכפתה עלינו"". שר החוץ סער",רויטרס,2025-09-16T17:08:48+03:00,,אריאל כהנא|שירית אביטן כהן,hayom,he,POB_RTRMADP_3_ISRAEL-PALESTINIANS-UN
2f9da6ab127f1e32e5a86f61639e801f22fa0310,"""עומרי גלזר גרם למאמן מכבי תל אביב צרות, הכל הסתבך""","ב""מרידיאן ספורט"" הסרבי מדווחים כי ז'רקו לאזטיץ' רצה שהשוער הישראלי של הכוכב האדום יגיע לצהובים ביום האחרון של חלון ההעברות • המאמן התייחס: ""אנחנו עוקבים אחר המצב, רועי משפתי היה מוכן כשהיינו זקוקים לו""",כדורגל עולמי,data/pics/hayom_0009_f1a66b2b.jpg,עומרי גלזר,Getty Images,2025-09-16T17:07:33+03:00,הכוכב האדום בלגרד|ז'רקו לאזטיץ'|מכבי תל אביב בכדורגל|עומרי גלזר,מערכת ספורט היום,hayom,he,New_1691111259
a9cb0eee6e4852060f2a0bea32e07a8cd67741ee,אחרי שהואשם בפדופיליה: מעצב העל שעיצב לקניה ווסט עושה קאמבק,"מעצב האופנה גושה רובצ'ינסקי פותח את מותג האופנה שלו מחדש, לאחר שעורר סערה בשנת 2018 כשדוגמנים צעירים הטיחו בו האשמות קשות • המעצב עבד עם קניה ווסט בשנים האחרונות, כמעין מעצב צללים",אופנה,data/pics/hayom_0010_e0007983.jpeg,גושה רובצ'ינסקי,GettyImages,2025-09-16T17:04:23+03:00,הטרדות מיניות|מעצבי אופנה|פדופיליה|קניה ווסט,מערכת ישראל היום,hayom,he,WhatsApp-Image-2025-09-16-at-17.03.02
c0daf7d4ab75b6b5203d0378fe84bcfc002b0452,כמה זמן סירופ מייפל באמת מחזיק - ואיפה הכי כדאי לאחסן אותו?,לא לעולם חוסן - הממתיק הטבעי הזה עלול להתקלקל אם לא שומרים עליו נכון,תזונה,data/pics/hayom_0011_c18a2d41.png,מייפל טהור - למקרר,Chat GPT,2025-09-16T16:58:38+03:00,אחסון,מערכת ישראל היום,hayom,he,ChatGPT-Image-Sep-4-2025-01_39_03-PM
ea88c6c9d1f779448f36dde19274d248cac97015,"הכלב שנפל לבור וגילה את ה-""קולנוע הראשון"": הכירו את מערת לאסקו","מי היה מאמין שכמה ילדים קטנים וכלב אחד יגלו לפני 85 שנה מחזה נדיר וחשוב כזה • כך זכינו במערה המיוחדת מצרפת, שהיא לא פחות מפיסת היסטוריה • צפו בסרטון",מסביב לעולם,data/pics/hayom_0012_e01ddcda.jpg,המערה ההיסטורית שהתגלתה במקרה,ללא קרדיט,2025-09-16T16:56:30+03:00,שורטס,נריה פיש,hayom,he,H-4
